task_ct,num_trials,clone_ct,string_len,str_type,time_sec
10000000,3,1,8,OwnedString,9.727508722333333
10000000,3,1,8,ArcStr,4.903516139
10000000,3,2,8,OwnedString,4.978364472333333
10000000,3,2,8,ArcStr,5.0123711250000005
10000000,3,4,8,OwnedString,5.380416652666667
10000000,3,4,8,ArcStr,5.238171972
10000000,3,8,8,OwnedString,6.114662097333333
10000000,3,8,8,ArcStr,5.874456861
10000000,3,16,8,OwnedString,6.463370347333334
10000000,3,16,8,ArcStr,6.8456036110000005
10000000,3,1,16,OwnedString,4.979334847
10000000,3,1,16,ArcStr,5.257755402666667
10000000,3,2,16,OwnedString,5.138044083333333
10000000,3,2,16,ArcStr,5.981696472333333
10000000,3,4,16,OwnedString,5.682792236333333
10000000,3,4,16,ArcStr,5.538670041666666
10000000,3,8,16,OwnedString,6.174475875
10000000,3,8,16,ArcStr,5.916084389000001
10000000,3,16,16,OwnedString,7.054834958333333
10000000,3,16,16,ArcStr,6.8397965833333325
10000000,3,1,32,OwnedString,6.7008840833333325
10000000,3,1,32,ArcStr,7.383126416666666
10000000,3,2,32,OwnedString,6.795176041666667
10000000,3,2,32,ArcStr,7.192913236333333
10000000,3,4,32,OwnedString,7.425712485999999
10000000,3,4,32,ArcStr,7.095797624999999
10000000,3,8,32,OwnedString,6.926008139
10000000,3,8,32,ArcStr,6.959773264
10000000,3,16,32,OwnedString,7.8288122499999995
10000000,3,16,32,ArcStr,7.154740819333333
10000000,3,1,64,OwnedString,9.569671972333333
10000000,3,1,64,ArcStr,10.280361416666667
10000000,3,2,64,OwnedString,9.630571916666666
10000000,3,2,64,ArcStr,10.032509069333333
10000000,3,4,64,OwnedString,9.593956819666667
10000000,3,4,64,ArcStr,10.066640639000001
10000000,3,8,64,OwnedString,9.398676014000001
10000000,3,8,64,ArcStr,9.754952291666667
10000000,3,16,64,OwnedString,9.555404708333333
10000000,3,16,64,ArcStr,10.039995180666667
10000000,3,1,128,OwnedString,15.480313819333333
10000000,3,1,128,ArcStr,16.044829083333333
10000000,3,2,128,OwnedString,15.248392819333333
10000000,3,2,128,ArcStr,15.694997430666668
10000000,3,4,128,OwnedString,15.141074902666666
10000000,3,4,128,ArcStr,15.590834111
10000000,3,8,128,OwnedString,14.936090305666667
10000000,3,8,128,ArcStr,15.471127985999999
10000000,3,16,128,OwnedString,14.616389944333333
10000000,3,16,128,ArcStr,15.295416680333332
